Artist ID,Name,Nationality,Gender,Birth Year,Death Year
165,James Anderson,British,Male,1813,1877
166,Jerry Anderson,American,Male,1938,
167,John Anderson,British,Male,1928,
168,Neil Anderson,American,Male,1933,
169,Paul L. Anderson,American,Male,1880,1956
170,Monika Andersson,Swedish,Female,1957,
172,Joe Andoe,American,Male,1955,
173,Farnese de Andrade-Neto,Brazilian,Male,1926,1996
174,Carl Andre,American,Male,1935,
175,Pat Andrea,Dutch,Male,1942,
176,A. Andreas,French,,,
177,Henning Andreasen,Danish,Male,1923,
178,Laura Andreson,American,Female,1902,1999
179,Mariano Andreù,Spanish,Male,1901,
180,Benny Andrews,American,Male,1930,2006
181,Emmy Andriesse,Dutch,Female,1914,1953
182,Claudia Andujar,American,Female,1931,
183,Manuel Angeles Ortiz,Spanish,Male,1895,1984
184,Ludwig Angerer,Austrian,Male,1827,1879
185,Bruce Angrave,British,Male,,
186,Raúl Anguiano,Mexican,Male,1915,2006
188,Sibyl Anikeef,American,Female,1896,1996
189,James Craig Annan,British,Male,1864,1946
190,Thomas Annan,British,Male,1829,1887
193,David Annesley,British,Male,1936,
194,Horst Antes,German,Male,1936,
195,William Anthony,American,Male,1934,
196,Stephen Antonakos,American,Male,1926,2013
198,Garo Antreasian,American,Male,1922,
199,Nemesio Antúnez,Chilean,Male,1918,1993
200,Richard Anuszkiewicz,American,Male,1930,
201,Aoki Toshio,,,,
202,Carl Apfelschnitt,American,Male,1948,
203,Karel Appel,Dutch,Male,1921,2006
204,Leon Appelbaum,American,Male,,
205,Ida Applebroog,American,Female,1929,
207,Shusaku Arakawa,American,Male,1936,2010
208,Diane Arbus,American,Female,1923,1971
209,Aleksandr Archipenko,American,Male,1887,1964
211,Mordecai Ardon,Israeli,Male,1896,1992
212,Luis Arenal,Mexican,Male,1909,1985
214,Egmont Arens,American,Male,1888,1966
215,Tamotsu Arikawa,Japanese,Male,,
216,Avigdor Arikha,Romanian,Male,1929,2010
217,Gonzalo Ariza,Colombian,Male,1912,1995
218,Alda Maria Armagni,Argentine,Female,,
219,Siah Armajani,American,Male,1939,
220,Arman,American,Male,1928,2005
221,Armando,Dutch,Male,1929,
222,F. Armbruster,Nationality unknown,,,
224,Kenneth Armitage,British,Male,1916,2002
225,John Taylor Arms,American,Male,1887,1953
226,John Armstrong,British,Male,1893,1973
227,François Arnal,French,Male,1924,2012
228,Arndt,German,,1898,1976
229,Eugène Atget,French,Male,1857,1927
230,John Atherton,American,Male,1900,1952
231,Anna Atkins,British,Female,1797,1871
232,Conrad Atkinson,British,Male,1940,
233,Lawrence Atkinson,British,Male,1873,1931
234,Terry Atkinson,British,Male,1939,
235,Jean-Michel Atlan,French,Male,1913,1960
236,Dotty Attie,American,Female,1938,
238,Carl Auböck,Austrian,Male,1924,1993
239,Charles Aubry,French,Male,1811,1877
240,Frank Auerbach,British,Male,1931,
241,Gae Aulenti,Italian,Female,1930,2012
242,Keith James Aulik,Nationality unknown,Male,,
243,George Ault,American,Male,1891,1948
244,Darrel Austin,American,Male,1907,1994
245,Irving Austin,American,Male,,
246,Mario Avati,Italian,Male,1921,2009
247,Edward Avedisian,American,Male,1936,2007
248,Richard Avedon,American,Male,1923,2004
249,Frances Avery,American,Female,1910,2006
250,Milton Avery,American,Male,1885,1965
251,David Avison,American,Male,,
252,Mordechai Avniel,Israeli,Male,,
254,Kiyoshi Awazu,Japanese,Male,1929,2009
255,Ay-O,Japanese,Male,1931,
256,Alice Aycock,American,Female,1946,
257,Pierre Ayot,Canadian,Male,1943,1995
258,Michael Ayrton,British,Male,1921,1975
259,Luis Cruz Azaceta,American,Male,1942,
260,Umetaro Azechi,Japanese,Male,1902,1999
261,Kengiro Azuma,Japanese,Male,1926,
262,Johannes Baader,German,Male,1875,1955
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,Male,1892,1927
264,Kurt W. Baasch,American,Male,1891,1964
265,Alice Baber,American,Female,1928,1982
266,Bacard Fils,French,Male,,
268,Edmondo Bacci,Italian,Male,1913,1978
269,Elvira Bach,German,Female,1951,
270,Olof Backman,Swedish,Male,1899,
271,Olof Backstrom,Finnish,Male,1922,
272,Francis Bacon,British,Male,1909,1992
273,Peggy Bacon,American,Female,1895,1987
275,Karl Baden,American,Male,1952,
276,Mowry Thatcher Baden,American,Male,1936,
277,Aquiles Badi,Argentine,Male,1894,1976
278,Libero Badii,Argentine,Male,1916,2001
279,Frank Badur,German,Male,1944,
280,Donald Baechler,American,Male,1956,
281,Jo Baer,American,Female,1929,
282,Martin Baer,American,Male,1894,1961
283,Olle Baertling,Swedish,Male,1911,1981
284,Myrna Báez,American,Female,1931,
285,John Bageris,American,Male,1924,2000
286,Heinz Bahr,German,Male,1934,
287,Malcolm Bailey,American,Male,1947,2011
288,Oscar Bailey,American,Male,1925,
289,William Bailey,American,Male,1930,
290,Larry Bair,American,Male,1952,1990
291,Eugenie Baizerman,American,Female,1899,1949
292,Enrico Baj,Italian,Male,1924,2003
293,E. Bakalowitz Söhne,Austrian,,1845,
294,Carl Baker,American,Male,,
296,Mikal Baker,American,Male,1946,
298,Vagrich Bakhchanyan,Russian,Male,1938,2009
299,Gerhard H. Bakker,American,Male,,
300,Léon Bakst,Russian,Male,1866,1924
301,Gerard Baksteen,Dutch,Male,1887,1976
302,Amèrico Balán,Argentine,Male,1915,1986
303,Jirí Balcar,Czech,Male,1929,1968
304,John Baldessari,American,Male,1931,
305,George Baldessin,Australian,Male,1939,1978
307,C. Leroy Baldridge,American,Male,1889,1975
308,Édouard-Denis Baldus,French,Male,1813,1882
309,Benjamin Baldwin,American,Male,1913,1993
310,Joost Baljeu,Dutch,Male,1925,1991
311,Giacomo Balla,Italian,Male,1871,1958
313,R. Maxil Ballinger,American,Male,1914,1958
314,Theo H. Ballmer,Swiss,Male,1902,1965
315,Alexander Bally,American,Male,1938,
316,John F. Balossi,American,Male,1931,2007
317,Balthus (Baltusz Klossowski de Rola),French,Male,1908,2001
318,Lewis Baltz,American,Male,1945,2014
